Dimension,Category,Bucket,Description,Example,NOTE
Argument Scheme,Argument from Consequences,Causal / Consequential,Reasoning that a statement is true or false based on the desirability or undesirability of its implications.,Opposing a proposal because it would lead to harmful side effects.,
Argument Scheme,Argument from Character (Ethotic Argument),Other / Check,Judging a claimâs credibility based on the character or motives of its proponent.,Accepting advice from a trusted friend because of their integrity.,
Argument Scheme,Argument from Bias (Circumstantial Attack),Other / Check,Challenging a claim by citing potential bias or vested interests of the source.,Dismissing a pharmaceutical study funded by the sponsoring company due to possible bias.,
Argument Scheme,Argument from Rules and Principles,Practical / Rules / Precedent,Deriving a conclusion by applying a general rule or principle to a specific case.,Arguing that an act is wrong because it violates a moral rule.,
Argument Scheme,Argument from Correlation to Cause,Causal / Consequential,Inferring a causal relationship from a correlation while addressing potential confounders.,Arguing that exercise leads to better health by citing statistical association and ruling out alternative explanations.,
Argument Scheme,Argument from Precedent,Practical / Rules / Precedent,Relying on previous cases or decisions as reasons to justify the same outcome in a current case.,A judge citing earlier rulings to support a current decision.,
Argument Scheme,Argument from Authority,Authority / Testimony / Social Proof,"Appealing to the opinion of an authority or expert as evidence, similar to expert opinion but focused on the authorityâs status rather than detailed reasons.",Believing a statement because it appears in a legal statute or a sacred text.,
Argument Scheme,Argument from Significance (Symptomatic),Statistical / Symptomatic,Reasoning that a property is present because a typical symptom or sign of that property is observed.,Seeing dark clouds as a sign it will rain.,
Argument Scheme,Inference to the Best Explanation (IBE),Causal / Consequential,"Selects the hypothesis that would, if true, best explain the evidence.",Multiple anomalies fit a single hardware defect model better than user error.,
Argument Scheme,Statistical Syllogism,Statistical / Symptomatic,Applies a statistical generalization to a case defeasibly.,"""Most servers of type X fail after 5 years; unit #127 is 6 years old; likely to fail soon.""",
Argument Scheme,Argument from Definition/Classification,Analogy / Exemplification / Definitions,Derives claim from stipulated or widely accepted definitions.,"""This is fraud because it meets elements A, B, C in statute.""",
Argument Scheme,ValueâBased Practical Reasoning,Practical / Rules / Precedent,Advocates action by linking means to prioritized values.,"""To protect privacy (value), we should adopt local processing (means).""",
Argument Scheme,Argument from Risk/Precaution,Causal / Consequential,Urges action when potential harms are serious though evidence is uncertain.,"""Given tailârisk of contamination, suspend operations pending tests.""",
Argument Scheme,Dilemmatic Reasoning,Analogy / Exemplification / Definitions,Structures reasoning around mutually exclusive options and their implications.,"""Either we pivot or double down; both require new funding.""",
Argument Scheme,Argument from Testimony (NonâExpert),Authority / Testimony / Social Proof,Relies on credible lay witness or participant reports.,User reports corroborate the outage timeline across regions.,
Assumption,No Data Leakage/Look-Ahead,Design / Identification,Future info not used to train/test.,Labels never appear in features.,
Assumption,Well-Defined Intervention/Consistency,Design / Identification,Treatment/action is precise and consistent.,ÒPrice cut = 10% list drop only.Ó,
Assumption,No Simultaneity/Reverse Causation,Design / Identification,Cause precedes effect without feedback.,Ads donÕt respond to same-day sales.,
Assumption,Measurement-Error Bounds,Measurement / Data Quality,Key variables measured within known error.,Survey margin ±3% acknowledged.,
Assumption,Invariance/Transportability Across Domains,External Validity / Transportability,Effect stable across contexts/populations.,Lab effect holds in field rollout.,
Assumption,Partial Identification/Bounds Awareness,Measurement / Data Quality,Accept point not identified; use bounds.,"ATE _ [1pp, 4pp] reported.",
Assumption,Limited Interference Structure Known,Design / Identification,"Spillovers modeled (clusters, exposure).",Classrooms treated as interference blocks.,
Assumption,Appropriate Model Capacity/Regularization,Modeling / Regularization,Model complexity matches signal/noise.,Penalized regression to avoid overfit.,
Assumption (Cross-Cutting),Consistency (SUTVA Ñ no multiple versions of treatment),SUTVA / Interference,"If a unit receives treatment a, its observed outcome equals its potential outcome under a; rules out Òdifferent versionsÓ of the same treatment.",Email variant A received _ observed outcome = potential outcome under A (not A_).,
Assumption (Cross-Cutting),Conditional Exchangeability / Ignorability,Assignment / Exchangeability,"After conditioning on covariates L, treatment assignment is independent of potential outcomes.","Given baseline risk factors, vaccinated vs. unvaccinated differ only by treatment.",
Assumption (Cross-Cutting),Instrument Relevance (IV),Instrumental Variables,Instrument Z must be correlated with treatment D (not weak).,Distance to college affects enrollment probabilities.,
Assumption (Cross-Cutting),Exclusion Restriction (IV),Instrumental Variables,Instrument affects the outcome only through the treatment (no direct path).,Lottery number affects military service but not earnings except via service.,
Assumption (Cross-Cutting),Monotone Treatment Response (MTR),Other / Check,Outcomes move weakly in one direction as treatment intensity increases.,Higher dose never reduces the biomarker for any unit.,
Assumption (Cross-Cutting),Rank Invariance (Quantile Effects),Other / Check,IndividualsÕ relative ranks are preserved across treatment states.,A person at the 80th percentile untreated remains 80th if treated.,
Assumption (Cross-Cutting),Sequential Ignorability (Longitudinal),Assignment / Exchangeability,"At each time, treatment is as-good-as-random given past observed history.","In dynamic treatment regimes, next dose assignment depends only on recorded history.",
Assumption (Cross-Cutting),Parallel Trends (DiD),Trends & Time Structure,"In absence of treatment, treated and control groups would have followed the same trend.",Minimum wage counties would have evolved like controls but for the policy.,
Assumption (Cross-Cutting),No Anticipation (DiD),Trends & Time Structure,Future treatment does not affect pre-treatment outcomes (no behavioral lead effects).,Firms donÕt adjust outcomes before a regulation officially starts.,
Assumption (Cross-Cutting),Measurement Invariance (Across groups/time),Measurement / Missingness,The measurement model is equivalent across groups/time so scores are comparable.,A 5-item scale loads the same way for men and women (configural/metric/scalar).,
Assumption (Cross-Cutting),Exchangeability / IID Sampling (Bayesian & hierarchical),Assignment / Exchangeability,Units are (conditionally) exchangeable; joint distribution invariant to permutation.,Schools in a meta-analysis treated as exchangeable draws from a population.,
Assumption (Cross-Cutting),Causal Markov,Graphical / Structural,"Given its direct causes, a variable is independent of non-effects (graphical Markov property).","In a DAG, X __ non-descendants _ parents(X).",
Assumption (Cross-Cutting),Faithfulness / No Cancellation,Graphical / Structural,All (and only) conditional independences in the data arise from the DAGÕs d-separations.,No exact coefficient cancelations create ÒspuriousÓ independences.,
Assumption (Cross-Cutting),Acyclicity (No feedback loops),Graphical / Structural,The causal graph is a DAG (no directed cycles).,No contemporaneous X_Y feedback in the structural model.,
Assumption (Cross-Cutting),Strict Exogeneity (Panels/FE),Assignment / Exchangeability,Idiosyncratic errors are uncorrelated with regressors in all periods.,FE model: __it uncorrelated with X_{i1ÉiT}.,
Assumption (Cross-Cutting),Homoskedastic & Well-Behaved Errors,Error Model / Exogeneity,"Constant error variance (and, where used, normality/independence) for valid OLS inference.",OLS standard errors rely on constant variance and independent residuals.,
Assumption (Cross-Cutting),Non-informative Censoring,Measurement / Missingness,Loss to follow-up/censoring is independent of potential outcomes (given covariates).,Right-censoring in survival analysis not related to unmeasured prognosis.,
Assumption (Cross-Cutting),Identifiability (Parameters/Model),Identifiability / Specification,Different parameter values imply different observable distributions (injective mapping).,Mixture model parameters uniquely determined by the data-generating distribution.,
Assumption (Cross-Cutting),Partial/Structured Interference,SUTVA / Interference,"Interference exists but follows a known structure (e.g., within clusters or networks).",Spillovers only within classrooms; none across classrooms.,
Assumption (Cross-Cutting),Covariate Shift,Shift / Transportability,P(X) changes across settings while P(Y_X) is invariant.,"Train on region A, deploy in region B with different covariate mix.",
Assumption (Cross-Cutting),Label Shift,Shift / Transportability,P(Y) changes while P(X_Y) is invariant.,Disease prevalence shifts year-to-year with same test characteristics.,
Assumption (Cross-Cutting),Concept Drift,Shift / Transportability,The conditional P(Y_X) itself changes over time.,"User preferences evolve, altering click-through behavior beyond covariate changes.",
Assumption (Cross-Cutting),Representativeness & Measurement,Representativeness,Assume that the data accurately measure the construct of interest and that instruments are valid and reliable.,Assuming that IQ tests accurately represent intelligence.,
Assumption (Cross-Cutting),Independence & No Confounding,Other / Check,Assume that variables are independent and that there are no hidden confounders in causal or statistical arguments.,Assuming that the treatment assignment is unrelated to unobserved factors affecting the outcome.,
Assumption (Cross-Cutting),Stability & Transportability,Shift / Transportability,Assume that relationships observed in a study hold across contexts or over time.,Assuming that results from a clinical trial generalize to a broader population.,
Assumption (Cross-Cutting),Model Fit & Specification,Identifiability / Specification,Assume that the chosen model properly captures the functional form and relevant interactions among variables.,Assuming that a linear model is appropriate when the true relationship is nonâlinear.,
Assumption (Cross-Cutting),Burden of Proof & Dialogue Rules,Dialogue / Burden of Proof,Assume proper allocation of the burden of proof and adherence to dialogue rules in adversarial contexts.,Assuming that each party will support their claims when challenged in a debate.,
Assumption (Cross-Cutting),Missingness/Selection Mechanism,Measurement / Missingness,Assumptions about data missingness or selection (MCAR/MAR/MNAR).,Survey nonresponse is MAR conditional on observed covariates.,
Assumption (Cross-Cutting),No Interference (SUTVA),SUTVA / Interference,Unitsâ outcomes are unaffected by other unitsâ treatments.,One userâs exposure does not affect anotherâs outcome.,
Assumption (Cross-Cutting),Common Support/Positivity,Support / Overlap,All treatment levels have nonâzero probability for all covariate strata.,"Propensity scores within (0,1) across groups.",
Assumption (Cross-Cutting),Monotonicity/Exclusion (IV),Instrumental Variables,Instrument affects outcome only through treatment and in one direction.,No defiers; instrument only shifts uptake.,
Assumption (Cross-Cutting),Stationarity/Ergodicity,Trends & Time Structure,Stochastic properties stable across time/space.,Time series generating process is stationary.,
Assumption Domain,Ontological,Philosophical,"Assumptions about reality, existence or being.",Assuming that electrons exist even though we cannot see them directly.,
Assumption Domain,Epistemological,Philosophical,"Assumptions about knowledge, truth or justification.",Presuming that scientific methods yield reliable knowledge.,
Assumption Domain,Methodological,Methodological / Causal-ID,"Assumptions about the validity of procedures, methods or measurement instruments.",Assuming that a survey instrument accurately captures respondentsâ attitudes.,
Assumption Domain,Normative,Normative / Pragmatic,"Assumptions about values, obligations, ethics or evaluation standards.",Assuming that fairness is an important criterion in policy decisions.,
Assumption Domain,Pragmatic,Normative / Pragmatic,"Assumptions about practical goals, utility or feasibility.",Assuming that economic efficiency should be maximized in public policy.,
Assumption Domain,Causal/Identification,Methodological / Causal-ID,"Claims about ignorability, exclusion, or interference needed for causal inference.",SUTVA and no unmeasured confounding are assumed.,
Assumption Domain,Linguistic/Semantic,Language / Institutional,"Assumptions about language, meanings, and classification.","Assuming ""active user"" means at least one session/week.",
Assumption Domain,Institutional/Procedural,Language / Institutional,"Rules, norms, or incentives embedded in institutions.",Assuming procurement rules allow multiâyear contracts.,
Assumption Visibility,Explicit Assumption,Explicitness,"Premises, assumptions or presuppositions that are openly stated in the argument.",Clearly stating that all measurements are assumed to be accurate.,
Assumption Visibility,Implicit Assumption,Explicitness,Premises or beliefs that are not stated but are taken for granted by the arguer.,Assuming that a sample is representative without mentioning this.,
Assumption Visibility,Contextual Assumption,Shared Context,Shared background knowledge or cultural beliefs that underpin an argument.,Assuming that common moral values are shared by all participants.,
Assumption Visibility,Latent/Unrecognized,Explicitness,Assumptions neither stated nor consciously recognized.,Unstated belief that users read release notes.,
Assumption Visibility,Linchpin Assumptions,Criticality / Linchpin,Identify and test the small set of assumptions that the conclusion most critically depends on (inspired by linchpin analysis).,ÒKey conclusion holds only if supplier X retains export licenseÓÑflag for monitoring.,
Claim Type,Fact,Descriptive / Explanatory,"Assert that a condition or event has existed, exists, or will exist; truth value can be verified with objective evidence.",âThe moon orbits the Earthâ is a factual claim.,
Claim Type,Definition/Classification,Descriptive / Explanatory,"Argue about how something should be defined or classified, focusing on criteria for membership in a category.",Debating whether esports should be classified as sports.,
Claim Type,Cause & Effect,Causal / Counterfactual,"State that one event or factor is responsible for another; central to scientific, historical and economic analysis.",âSmoking causes lung cancerâ is a causal claim.,
Claim Type,Value/Evaluation,Evaluative / Normative / Policy,Make a judgment about somethingâs quality or worth based on standards or criteria.,âThe policy is unjustâ or âThe film is entertainingâ are evaluative claims.,
Claim Type,Policy,Evaluative / Normative / Policy,"Prescribe a specific course of action; typically framed with terms like âshouldâ, âoughtâ, or âmustâ.",âGovernments should invest more in renewable energyâ is a policy claim.,
Claim Type,Comparison,Association / Generalization / Analogy,Argue for the relative merit or difference between two or more subjects using pointâbyâpoint or block comparisons.,âSolar power is more costâeffective than wind power for residential use.â,
Claim Type,Forecast/Prediction,Predictive / Quantitative,"Statement about future state, rate, or event with uncertainty.","""GDP growth will be 1.2â1.8% next year.""",
Claim Type,Counterfactual,Descriptive / Explanatory,Statement about what would happen under an unrealized alternative.,"""Had the rollout been phased, churn would have been lower.""",
Claim Type,Mechanism,Descriptive / Explanatory,Claim about the process or pathway linking cause and effect.,"""The drug inhibits receptor X, reducing inflammation.""",
Claim Type,Feasibility/Possibility,Modal / Contingent,Claim about whether a proposal is possible given constraints.,"""A 24âhour turnaround is infeasible without automation.""",
Claim Type,Attribution/Responsibility,Causal / Counterfactual,Assigns agency or blame for an outcome.,"""Supplier delays caused the missed deadline.""",
Claim Type,Quantitative Estimate,Predictive / Quantitative,Point or interval estimate of a parameter or effect size.,"""Average treatment effect is ~3.4pp (95% CI: 1.1â5.7).""",
Claim Type,Association/Correlation,Association / Generalization / Analogy,Asserts a non-causal relationship (covariation) between variables; directionality and mechanism are not claimed.,ÒScreen time is associated with poorer sleep quality.Ó (Australian Bureau of Statistics),
Claim Type,Generalization Ñ Statistical,Association / Generalization / Analogy,"Extends from a sample to a broader population with quantifiers like Òmost,Ó Òmany,Ó Òsome.Ó",ÒMost software projects exceed their initial timeline.Ó (Stanford Encyclopedia of Philosophy),
Claim Type,Generalization Ñ Universal,Association / Generalization / Analogy,"States exceptionless membership (or exclusion) for a class using Òall,Ó Òno,Ó Òevery.Ó",ÒAll mammals are warm-blooded.Ó (Stanford Encyclopedia of Philosophy),
Claim Type,Analogy,Association / Generalization / Analogy,Claims a further similarity or conclusion about a target by appeal to relevant similarity with a source.,ÒRegulating social media should be like broadcast regulation.Ó (Stanford Encyclopedia of Philosophy),
Claim Type,Explanatory/Why,Descriptive / Explanatory,Offers a ÒwhyÓ answer (accounts for a phenomenon); distinct from prediction and may or may not specify full mechanism.,ÒThe outage occurred because a misconfigured load balancer caused cascading failures.Ó (Project Euclid),
Claim Type,Diagnostic (Present-State Inference),Descriptive / Explanatory,Identifies the most plausible present condition/state from observed signs or data (contrast: prognostic/predictive).,"ÒGiven symptoms and labs, this is influenza.Ó (PubMed)",
Claim Type,Necessary-Condition,Causal / Counterfactual,"Asserts that X is required for Y (if Y, then X).",ÒTwo-factor authentication is necessary to meet this compliance standard.Ó (Stanford Encyclopedia of Philosophy),
Claim Type,Sufficient-Condition,Causal / Counterfactual,"Asserts that X guarantees Y (if X, then Y).","ÒMeeting criteria A, B, and C is sufficient to qualify for funding.Ó (Stanford Encyclopedia of Philosophy)",
Claim Type,Modal Claim Ñ Necessity,Modal / Contingent,Claim that something must be true (maximal strength). Track burden accordingly.,ÒThe policy must reduce emissions.Ó,
Claim Type,Modal Claim Ñ Impossibility,Modal / Contingent,Claim that something cannot be true (maximal negation).,ÒThe data cannot support causality.Ó,
Claim Type,Modal Claim Ñ Possibility,Modal / Contingent,Claim that something could be true (weak existential).,ÒThe effect could persist in other markets.Ó,
Claim Type,Modal Claim Ñ Non-Necessity,Modal / Contingent,Claim that an outcome is not required (denies necessity).,ÒThe intervention is not necessarily cost-effective everywhere.Ó,
Claim Type,Contingency,Modal / Contingent,Asserts that something is neither necessary nor impossible; its truth depends on context or other variables.,ÒThe software may or may not improve performance depending on user behaviourÓ.,
Claim Type,Fairness/Equity Claim,Evaluative / Normative / Policy,Asserts distributive or procedural fairness.,ÒPolicy reduces demographic disparity.Ó,
Claim Type,Risk/Tail-Risk Claim,Other / Check,"Focus on variance/extremes, not mean.",Ò1% chance of catastrophic loss.Ó,
Claim Type,Robustness Claim,Meta-Methodological,Claim holds under perturbations/stress.,ÒResult unchanged under alt specs.Ó,
Claim Type,Transportability/Generalization Claim,Association / Generalization / Analogy,Result extends to new settings.,"ÒFindings apply to SMBs, not just enterprise.Ó",
Claim Type,Reproducibility/Replicability Claim,Meta-Methodological,Others can repeat with same outcome.,ÒCode/data reproduce Table 2.Ó,
Claim Type,Resource/Cost/Trade-off Claim,Evaluative / Normative / Policy,Balances objectives and constraints.,Ò+3% conv. for +1 ms latency.Ó,
Cognitive Bias,Confirmation Bias,Belief & Evaluation,"The tendency to seek, interpret and remember information that confirms oneâs preâexisting beliefs while ignoring or discounting contradictory evidence.",Paying attention only to news that supports your political views.,
Cognitive Bias,Motivated Reasoning,Belief & Evaluation,Reasoning towards a preferred conclusion rather than impartially evaluating evidence.,Interpreting ambiguous data to favor a desired policy outcome.,
Cognitive Bias,Anchoring Bias,Other / Check,Overârelying on the first piece of information encountered when making judgments or estimates.,Sticking too closely to an initial price in salary negotiations despite new evidence.,
Cognitive Bias,Availability Heuristic,Attention / Memory,Judging the likelihood or frequency of events based on how easily examples come to mind rather than actual probabilities.,Overestimating the frequency of airplane accidents because they are highly publicized.,
Cognitive Bias,Overconfidence Bias,Belief & Evaluation,Overestimating accuracy of oneâs beliefs or forecasts.,Assigns overly narrow intervals for uncertain quantities.,
Cognitive Bias,Hindsight Bias,Belief & Evaluation,Seeing events as predictable after the fact.,"After an outage, the root cause seems âobvious.â",
Cognitive Bias,Illusory Correlation,Other / Check,Perceiving relationships where none exist.,Associates a deployment with unrelated metric noise.,
Cognitive Bias,Fundamental Attribution Error,Attribution & Social / Framing,Overâattributing outcomes to dispositions vs situations.,"Blames a teamâs ""carelessness"" instead of resource constraints.",
Cognitive Bias,SelfâServing Bias,Other / Check,Interpreting information to maintain positive selfâview.,"Credits wins to skill, blames losses on luck.",
Cognitive Bias,Framing Effect,Other / Check,Different choices depending on gain vs loss framing.,Optâin vs optâout consent yields different behaviors.,
Cognitive Bias,Loss Aversion,Decision / Risk Preferences,Losses loom larger than equivalent gains.,Prefers avoiding a $10 loss to securing a $10 gain.,
Cognitive Bias,Status Quo Bias,Attribution & Social / Framing,Preference for current state even when change dominates.,Rejects migration despite positive expected value.,
Cognitive Bias,Endowment Effect,Attribution & Social / Framing,Valuing owned items more than identical nonâowned items.,"Overvalues legacy system because itâs ""ours.""",
Cognitive Bias,Optimism/Pessimism Bias,Belief & Evaluation,Systematic over/underestimation of favorable outcomes.,Forecasts that are too rosy or too dour.,
Cognitive Bias,Negativity Bias,Attention / Memory,Heavier weighting of negative information.,One bad review outweighs many positive reports.,
Cognitive Bias,Survivorship Bias,Other / Check,"Focusing on visible successes, ignoring failures.",Benchmarks only surviving startups.,
Cognitive Bias,Recency/Primacy Effects,Attention / Memory,Overweighting recent or first information.,Latest metric swing dominates judgment.,
Cognitive Bias,Present Bias/Hyperbolic Discounting,Decision / Risk Preferences,Overvaluing immediate rewards vs future outcomes.,Prefers a quick fix over a better longâterm solution.,
Cognitive Bias,Sunk Cost Fallacy,Decision / Risk Preferences,Persisting due to prior investments rather than prospects.,"Continues a failing project to ""recoup"" sunk costs.",
Cognitive Bias,DunningâKruger Effect,Other / Check,Lowâskill individuals overestimate ability.,Novices rate their performance as above average.,
Cognitive Bias,Halo/Horns Effect,Attribution & Social / Framing,Global evaluation influenced by a single salient trait.,Star employeeâs idea overvalued regardless of merit.,
Cognitive Bias,Selection Bias (Cognitive),Process / Control,Drawing conclusions from nonârepresentative samples.,Assumes feedback from power users applies to all.,
Cognitive Bias,BaseâRate Neglect,Other / Check,Ignoring prior probabilities when evaluating evidence.,Treats a rare positive test as strong proof without base rates.,
Cognitive Bias,Authority Bias,Attribution & Social / Framing,Overweighting the views of perceived authorities regardless of content quality.,Accepting a flawed recommendation because Òthe chief architect said so.Ó (Wikipedia),
Cognitive Bias,Bandwagon Effect,Attribution & Social / Framing,Adopting a belief/choice because itÕs popular (conformity/informational cascades).,Choosing a vendor Òbecause everyone else uses them.Ó (Wikipedia),
Cognitive Bias,Outcome Bias,Belief & Evaluation,Evaluating decision quality by its result rather than ex-ante process/odds.,Calling a statistically sound bet ÒbadÓ because it lost. (Warrington College of Business),
Cognitive Bias,Omission Bias,Other / Check,Preferring harmful inaction over equivalent harmful action.,Skipping vaccination due to a tiny side-effect risk despite higher disease risk. (Wiley Online Library),
Cognitive Bias,Bias Blind Spot,Belief & Evaluation,Seeing bias more in others than in oneself.,Rating yourself ÒobjectiveÓ while peers are Òbiased.Ó (Sakkyndig),
Cognitive Bias,False Consensus Effect,Attribution & Social / Framing,Overestimating how widely others share oneÕs beliefs/behaviors.,Assuming Òmost users love dark mode because my team does.Ó (Wikipedia),
Cognitive Bias,Nave Realism,Other / Check,Belief that one perceives reality objectively and dissenters are uninformed/biased.,Dismissing critics as Ònot seeing the facts.Ó (Wikipedia),
Cognitive Bias,Projection Bias,Attribution & Social / Framing,Projecting current tastes/states onto the future self.,Overbuying groceries when shopping hungry. (Carnegie Mellon University),
Cognitive Bias,Focusing Illusion,Attention / Memory,Overweighting a salient factor in judgment/forecasting.,Expecting a move to California to greatly raise life satisfaction. (Massachusetts Institute of Technology),
Cognitive Bias,Law of Small Numbers,Statistical / Probabilistic,Expecting small samples to mirror population; insensitivity to variance.,Inferring productÐmarket fit from a 12-user pilot. (Stats.org.uk),
Cognitive Bias,Clustering Illusion,Statistical / Probabilistic,Seeing patterns/streaks in randomness.,Treating random KPI wiggles as a Òtrend.Ó (Wikipedia),
Cognitive Bias,Regression-to-the-Mean Neglect (Regression Fallacy),Other / Check,Misattributing natural reversion to an intervention or cause.,Crediting a memo for ÒimprovingÓ performance after an unusually bad quarter. (Wikipedia),
Cognitive Bias,GamblerÕs Fallacy,Statistical / Probabilistic,Belief that independent random events are self-correcting.,Expecting tails ÒdueÓ after five heads. (Wikipedia),
Cognitive Bias,Hot-Hand Fallacy,Other / Check,Belief that recent success implies higher odds of continued success in random processes.,Betting on a Òhot shooter.Ó (CU Boulder CS),
Cognitive Bias,Automation Bias,Process / Control,Over-reliance on automated recommendations/alerts.,Accepting a decision-support alert without verification. (PubMed),
Cognitive Bias,Illusion of Control,Process / Control,Overestimating personal control over uncontrollable outcomes.,Pressing the crosswalk button to Òspeed upÓ the light. (Nuovo e Utile),
Cognitive Bias,Illusory Truth Effect,Attention / Memory,Repetition increases perceived truth regardless of accuracy.,Believing a claim after seeing it repeated in many posts. (Wikipedia),
Cognitive Bias,Mere Exposure Effect,Attention / Memory,Familiarity increases liking absent substantive reasons.,Preferring a brand mainly because youÕve seen it often. (cdn.isr.umich.edu),
Cognitive Bias,Identifiable Victim Effect,Attribution & Social / Framing,"Greater empathy/help for a specific, identified person vs. statistical victims.",Donating more to a named child than to a disaster-relief fund. (Wikipedia),
Cognitive Bias,Information Bias,Attention / Memory,Seeking/valuing information that wonÕt change the decision.,Ordering extra tests that cannot affect treatment choice. (Wikipedia),
Cognitive Bias,Normalcy Bias,Decision / Risk Preferences,Underestimating the likelihood/impact of disasters; delayed response.,Ignoring evacuation guidance before a hurricane. (Wikipedia),
Cognitive Bias,Planning Fallacy,Process / Control,Systematic underestimation of time/cost/risks despite past experience.,Promising a 6-week build that historically takes 12. (Massachusetts Institute of Technology),
Cognitive Bias,Conjunction Fallacy,Statistical / Probabilistic,Judging specific conjunctions as more probable than a general event.,Finding Òbank teller & activistÓ more likely than Òbank teller.Ó (faculty.econ.ucdavis.edu),
Cognitive Bias,Authority Bias,Attribution & Social / Framing,Overweighting expert/celebrity opinions.,"ÒCEO said it, so itÕs true.Ó",
Cognitive Bias,Blind-Spot Bias,Other / Check,Not seeing oneÕs own biases.,"ÒOthers are biased, IÕm not.Ó",
Cognitive Bias,Planning Fallacy,Process / Control,Underestimating time/cost.,ÒShip in 2 weeksÓ takes 2 months.,
Cognitive Bias,Outcome Bias,Belief & Evaluation,"Judging by result, not process.",Lucky win seen as skill.,
Cognitive Bias,Omission Bias,Other / Check,Preferring harm by inaction.,Avoids recall despite known risk.,
Cognitive Bias,Moral Licensing,Attribution & Social / Framing,Past good justifies present laxity.,ÒWe donated; cutting corners is fine.Ó,
Cognitive Bias,Ambiguity Effect,Decision / Risk Preferences,Avoiding unknown probabilities.,Chooses known-odds option only.,
Cognitive Bias,Groupthink,Attribution & Social / Framing,Suppressing dissent in groups.,No one challenges flawed plan.,
Dialogical Frame,Monological,Instructional / Inquiry,"A selfâcontained, linear argument presented as a proof with little engagement with an audience or alternative viewpoints.",A formal mathematical proof or a logical demonstration.,
Dialogical Frame,Adversarial/Dialectical,Adversarial / Contestation,An interactive exchange where opposing sides present and challenge arguments to test their strength; typical of debates and legal proceedings.,A courtroom trial where prosecution and defense crossâexamine each otherâs claims.,
